person,contributor_group,homepage,paper,year,paper_url,doi,discovery_source,status,topics
Josiah Wong,Core Team,http://jowo.me,OSCAR: Data-Driven Operational Space Control for Adaptive and Robust Robot Manipulation,2022,https://doi.org/10.1109/icra46639.2022.9811967,10.1109/icra46639.2022.9811967,Crossref,candidate_needs_fulltext_verification,
Cem Gokmen,Core Team,https://www.cemgokmen.com/,Embodied Agent Interface: Benchmarking LLMs for Embodied Decision Making,2024,https://doi.org/10.52202/079017-3188,10.52202/079017-3188,Crossref,candidate_needs_fulltext_verification,
Hang Yin,Core Team,https://hang-yin.github.io,Interactive Perception for Deformable Object Manipulation,2024,https://doi.org/10.1109/lra.2024.3431943,10.1109/lra.2024.3431943,Crossref,candidate_needs_fulltext_verification,
Hang Yin,Core Team,https://hang-yin.github.io,Enabling Visual Action Planning for Object Manipulation Through Latent Space Roadmap,2023,https://doi.org/10.1109/tro.2022.3188163,10.1109/tro.2022.3188163,Crossref,candidate_needs_fulltext_verification,
Ruohan Zhang,Core Team,https://ai.stanford.edu/~zharu/,DexCap: Scalable and Portable Mocap Data Collection System for Dexterous Manipulation,2024,https://doi.org/10.15607/rss.2024.xx.043,10.15607/rss.2024.xx.043,Crossref,candidate_needs_fulltext_verification,
Ruohan Zhang,Core Team,https://ai.stanford.edu/~zharu/,UAD: Unsupervised Affordance Distillation for Generalization in Robotic Manipulation,2025,https://doi.org/10.1109/icra55743.2025.11128868,10.1109/icra55743.2025.11128868,Crossref,candidate_needs_fulltext_verification,
Ruohan Zhang,Core Team,https://ai.stanford.edu/~zharu/,Chain-of-Modality: Learning Manipulation Programs from Multimodal Human Videos with Vision-Language-Models,2025,https://doi.org/10.1109/icra55743.2025.11128270,10.1109/icra55743.2025.11128270,Crossref,candidate_needs_fulltext_verification,
Jiajun Wu,Core Team,https://jiajunwu.com/,Learning to Design 3D Printable Adaptations on Everyday Objects for Robot Manipulation,2024,https://doi.org/10.1109/icra57147.2024.10610268,10.1109/icra57147.2024.10610268,Crossref,candidate_needs_fulltext_verification,
Jiajun Wu,Core Team,https://jiajunwu.com/,A review of learning-based dynamics models for robotic manipulation,2025,https://doi.org/10.1126/scirobotics.adt1497,10.1126/scirobotics.adt1497,Crossref,candidate_needs_fulltext_verification,
Jiajun Wu,Core Team,https://jiajunwu.com/,Dynamic-Resolution Model Learning for Object Pile Manipulation,2023,https://doi.org/10.15607/rss.2023.xix.047,10.15607/rss.2023.xix.047,Crossref,candidate_needs_fulltext_verification,
Jiajun Wu,Core Team,https://jiajunwu.com/,Robot Orientation Learning Based on Interaction Primitives for Human-Robot Collaboration,2023,https://doi.org/10.1109/rcar58764.2023.10249524,10.1109/rcar58764.2023.10249524,Crossref,candidate_needs_fulltext_verification,
Jiajun Wu,Core Team,https://jiajunwu.com/,Probabilistic Fusion in Task Space and Joint Space for Human-Robot Interaction,2022,https://doi.org/10.1109/robio55434.2022.10011691,10.1109/robio55434.2022.10011691,Crossref,candidate_needs_fulltext_verification,
